web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293735-286,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,FC Famalicão,15,10,2,4,8,17,28,Jornada 14
1668293735-287,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Santa Clara,16,10,2,4,8,12,30,Jornada 14
1668293735-288,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Moreirense,17,9,1,6,7,15,25,Jornada 14
1668293735-289,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,B SAD,18,8,1,5,8,7,25,Jornada 14
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293705-254,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Porto,1,35,11,2,0,33,8,Jornada 13
1668293705-255,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Sporting,2,35,11,2,0,22,5,Jornada 13
1668293705-256,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Benfica,3,31,10,1,2,35,10,Jornada 13
1668293705-257,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,SC Braga,4,25,7,4,2,23,15,Jornada 13
1668293705-258,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Estoril Praia,5,21,5,6,2,18,13,Jornada 13
1668293705-259,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Portimonense,6,20,6,2,5,13,12,Jornada 13
1668293705-260,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Vitória SC,7,19,5,4,4,16,13,Jornada 13
1668293705-261,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Gil Vicente,8,17,4,5,4,19,15,Jornada 13
1668293705-262,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,CD Tondela,9,15,5,0,8,19,24,Jornada 13
1668293705-263,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Arouca,10,13,3,4,6,14,20,Jornada 13
1668293705-264,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Vizela,11,13,2,7,4,12,20,Jornada 13
1668293705-265,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Boavista,12,12,2,6,5,16,23,Jornada 13
1668293705-266,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Marítimo,13,11,2,5,6,13,18,Jornada 13
1668293705-267,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Paços de Ferreira,14,11,2,5,6,10,18,Jornada 13
1668293705-268,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Famalicão,15,10,2,4,7,16,24,Jornada 13
1668293705-269,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Santa Clara,16,10,2,4,7,11,26,Jornada 13
1668293705-270,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Moreirense,17,9,1,6,6,15,24,Jornada 13
1668293705-271,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,B SAD,18,8,1,5,7,7,24,Jornada 13
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293661-236,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Porto,1,32,10,2,0,30,8,Jornada 12
1668293661-237,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Sporting,2,32,10,2,0,19,4,Jornada 12
1668293661-238,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Benfica,3,31,10,1,1,34,7,Jornada 12
1668293661-239,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,SC Braga,4,22,6,4,2,21,15,Jornada 12
1668293661-240,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Estoril Praia,5,21,5,6,1,18,11,Jornada 12
1668293661-241,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Portimonense,6,20,6,2,4,13,9,Jornada 12
1668293661-242,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Vitória SC,7,16,4,4,4,14,12,Jornada 12
1668293661-243,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Gil Vicente,8,14,3,5,4,15,15,Jornada 12
1668293661-244,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Arouca,9,13,3,4,5,13,18,Jornada 12
1668293661-245,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,CD Tondela,10,12,4,0,8,17,23,Jornada 12
1668293661-246,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Boavista,11,11,2,5,5,15,22,Jornada 12
1668293661-247,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Paços de Ferreira,12,11,2,5,5,9,16,Jornada 12
1668293661-248,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Famalicão,13,10,2,4,6,16,20,Jornada 12
1668293661-249,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Vizela,14,10,1,7,4,10,20,Jornada 12
1668293661-250,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Marítimo,15,10,2,4,6,12,17,Jornada 12
1668293661-251,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Moreirense,16,9,1,6,5,14,22,Jornada 12
1668293661-252,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,B SAD,17,8,1,5,6,7,22,Jornada 12
1668293661-253,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Santa Clara,18,7,1,4,7,9,25,Jornada 12
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293626-218,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Porto,1,29,9,2,0,28,7,Jornada 11
1668293626-219,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Sporting,2,29,9,2,0,17,4,Jornada 11
1668293626-220,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Benfica,3,28,9,1,1,27,7,Jornada 11
1668293626-221,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Estoril Praia,4,20,5,5,1,16,9,Jornada 11
1668293626-222,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,SC Braga,5,19,5,4,2,17,14,Jornada 11
1668293626-223,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Portimonense,6,17,5,2,4,10,9,Jornada 11
1668293626-224,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Vitória SC,7,16,4,4,3,13,10,Jornada 11
1668293626-225,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Gil Vicente,8,13,3,4,4,13,13,Jornada 11
1668293626-226,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,CD Tondela,9,12,4,0,7,17,21,Jornada 11
1668293626-227,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Boavista,10,11,2,5,4,14,20,Jornada 11
1668293626-228,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Paços de Ferreira,11,11,2,5,4,9,14,Jornada 11
1668293626-229,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Arouca,12,10,2,4,5,11,17,Jornada 11
1668293626-230,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Vizela,13,10,1,7,3,9,16,Jornada 11
1668293626-231,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Famalicão,14,10,2,4,5,16,17,Jornada 11
1668293626-232,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Moreirense,15,8,1,5,5,12,20,Jornada 11
1668293626-233,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,B SAD,16,8,1,5,5,7,15,Jornada 11
1668293626-234,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Marítimo,17,7,1,4,6,10,17,Jornada 11
1668293626-235,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Santa Clara,18,6,1,3,7,7,23,Jornada 11
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294061-380,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,FC Porto,1,56,18,2,0,53,14,Jornada 20
1668294061-381,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Sporting,2,50,16,2,2,39,13,Jornada 20
1668294061-382,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Benfica,3,44,14,2,4,53,18,Jornada 20
1668294061-383,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,SC Braga,4,38,11,5,4,36,20,Jornada 20
1668294061-384,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Gil Vicente,5,33,9,6,5,30,22,Jornada 20
1668294061-385,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Vitória SC,6,27,7,6,7,30,25,Jornada 20
1668294061-386,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Estoril Praia,7,26,6,8,6,25,24,Jornada 20
1668294061-387,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Portimonense,8,25,7,4,9,20,22,Jornada 20
1668294061-388,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Marítimo,9,24,6,6,8,25,30,Jornada 20
1668294061-389,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Santa Clara,10,23,6,5,9,23,37,Jornada 20
1668294061-390,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,FC Vizela,11,22,5,7,8,22,34,Jornada 20
1668294061-391,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Paços de Ferreira,12,20,4,8,8,14,23,Jornada 20
1668294061-392,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,CD Tondela,13,20,6,2,12,28,40,Jornada 20
1668294061-393,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Boavista,14,19,3,10,7,22,31,Jornada 20
1668294061-394,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,FC Arouca,15,18,4,6,10,19,36,Jornada 20
1668294061-395,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,FC Famalicão,16,17,3,8,9,23,35,Jornada 20
1668294061-396,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,Moreirense,17,16,3,7,10,18,31,Jornada 20
1668294061-397,https://www.zerozero.pt/edition.php?jornada_in=20&id_edicao=156405&fase=150343,B SAD,18,12,2,6,12,12,37,Jornada 20
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293595-200,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,FC Porto,1,26,8,2,0,25,7,Jornada 10
1668293595-201,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Sporting,2,26,8,2,0,15,4,Jornada 10
1668293595-202,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Benfica,3,25,8,1,1,21,6,Jornada 10
1668293595-203,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,SC Braga,4,19,5,4,1,16,8,Jornada 10
1668293595-204,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Estoril Praia,5,19,5,4,1,15,8,Jornada 10
1668293595-205,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Portimonense,6,14,4,2,4,8,9,Jornada 10
1668293595-206,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Vitória SC,7,13,3,4,3,11,9,Jornada 10
1668293595-207,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Gil Vicente,8,12,3,3,4,12,12,Jornada 10
1668293595-208,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Boavista,9,11,2,5,3,12,15,Jornada 10
1668293595-209,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Paços de Ferreira,10,11,2,5,3,9,12,Jornada 10
1668293595-210,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,FC Arouca,11,9,2,3,5,10,16,Jornada 10
1668293595-211,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,FC Vizela,12,9,1,6,3,8,15,Jornada 10
1668293595-212,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,CD Tondela,13,9,3,0,7,13,19,Jornada 10
1668293595-213,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Moreirense,14,8,1,5,4,11,18,Jornada 10
1668293595-214,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,B SAD,15,8,1,5,4,7,13,Jornada 10
1668293595-215,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,FC Famalicão,16,7,1,4,5,11,15,Jornada 10
1668293595-216,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Marítimo,17,7,1,4,5,8,13,Jornada 10
1668293595-217,https://www.zerozero.pt/edition.php?jornada_in=10&id_edicao=156405&fase=150343,Santa Clara,18,6,1,3,6,7,20,Jornada 10
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293541-182,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Benfica,1,24,8,0,1,20,5,Jornada 9
1668293541-183,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,FC Porto,2,23,7,2,0,21,6,Jornada 9
1668293541-184,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Sporting,3,23,7,2,0,14,4,Jornada 9
1668293541-185,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Estoril Praia,4,18,5,3,1,14,7,Jornada 9
1668293541-186,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,SC Braga,5,16,4,4,1,13,8,Jornada 9
1668293541-187,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Portimonense,6,14,4,2,3,8,6,Jornada 9
1668293541-188,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Vitória SC,7,13,3,4,2,11,8,Jornada 9
1668293541-189,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Boavista,8,11,2,5,2,11,11,Jornada 9
1668293541-190,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Paços de Ferreira,9,10,2,4,3,8,11,Jornada 9
1668293541-191,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Gil Vicente,10,9,2,3,4,10,11,Jornada 9
1668293541-192,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,CD Tondela,11,9,3,0,6,13,17,Jornada 9
1668293541-193,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,FC Vizela,12,8,1,5,3,7,14,Jornada 9
1668293541-194,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Marítimo,13,7,1,4,4,7,11,Jornada 9
1668293541-195,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Moreirense,14,7,1,4,4,10,17,Jornada 9
1668293541-196,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,FC Famalicão,15,6,1,3,5,10,14,Jornada 9
1668293541-197,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,FC Arouca,16,6,1,3,5,8,16,Jornada 9
1668293541-198,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,Santa Clara,17,6,1,3,5,6,18,Jornada 9
1668293541-199,https://www.zerozero.pt/edition.php?jornada_in=9&id_edicao=156405&fase=150343,B SAD,18,5,0,5,4,5,12,Jornada 9
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293420-164,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Benfica,1,21,7,0,1,19,5,Jornada 8
1668293420-165,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,FC Porto,2,20,6,2,0,18,5,Jornada 8
1668293420-166,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Sporting,3,20,6,2,0,13,4,Jornada 8
1668293420-167,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Estoril Praia,4,15,4,3,1,12,7,Jornada 8
1668293420-168,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Portimonense,5,14,4,2,2,8,4,Jornada 8
1668293420-169,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,SC Braga,6,13,3,4,1,12,8,Jornada 8
1668293420-170,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Vitória SC,7,10,2,4,2,9,7,Jornada 8
1668293420-171,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Boavista,8,10,2,4,2,11,11,Jornada 8
1668293420-172,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Gil Vicente,9,9,2,3,3,10,10,Jornada 8
1668293420-173,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,CD Tondela,10,9,3,0,5,12,14,Jornada 8
1668293420-174,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Paços de Ferreira,11,9,2,3,3,8,11,Jornada 8
1668293420-175,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,FC Vizela,12,8,1,5,2,7,13,Jornada 8
1668293420-176,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Marítimo,13,7,1,4,3,6,9,Jornada 8
1668293420-177,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Moreirense,14,7,1,4,3,10,16,Jornada 8
1668293420-178,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,Santa Clara,15,6,1,3,4,6,16,Jornada 8
1668293420-179,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,FC Arouca,16,5,1,2,5,8,16,Jornada 8
1668293420-180,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,B SAD,17,4,0,4,4,5,12,Jornada 8
1668293420-181,https://www.zerozero.pt/edition.php?jornada_in=8&id_edicao=156405&fase=150343,FC Famalicão,18,3,0,3,5,8,14,Jornada 8
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293380-146,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Benfica,1,21,7,0,0,19,4,Jornada 7
1668293380-147,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,FC Porto,2,17,5,2,0,16,4,Jornada 7
1668293380-148,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Sporting,3,17,5,2,0,11,3,Jornada 7
1668293380-149,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Estoril Praia,4,14,4,2,1,10,5,Jornada 7
1668293380-150,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,SC Braga,5,12,3,3,1,10,6,Jornada 7
1668293380-151,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Portimonense,6,11,3,2,2,7,4,Jornada 7
1668293380-152,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Boavista,7,9,2,3,2,9,9,Jornada 7
1668293380-153,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Paços de Ferreira,8,9,2,3,2,7,9,Jornada 7
1668293380-154,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Gil Vicente,9,8,2,2,3,8,8,Jornada 7
1668293380-155,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Vitória SC,10,7,1,4,2,7,6,Jornada 7
1668293380-156,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,FC Vizela,11,7,1,4,2,6,12,Jornada 7
1668293380-157,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Marítimo,12,6,1,3,3,6,9,Jornada 7
1668293380-158,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,CD Tondela,13,6,2,0,5,10,14,Jornada 7
1668293380-159,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Moreirense,14,6,1,3,3,10,16,Jornada 7
1668293380-160,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,FC Arouca,15,5,1,2,4,7,14,Jornada 7
1668293380-161,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,Santa Clara,16,5,1,2,4,5,15,Jornada 7
1668293380-162,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,B SAD,17,4,0,4,3,5,10,Jornada 7
1668293380-163,https://www.zerozero.pt/edition.php?jornada_in=7&id_edicao=156405&fase=150343,FC Famalicão,18,3,0,3,4,7,12,Jornada 7
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293337-128,https://www.zerozero.pt/edition.php?jornada_in=6&id_edicao=156405&fase=150343,Benfica,1,18,6,0,0,16,3,Jornada 6
1668293337-129,https://www.zerozero.pt/edition.php?jornada_in=6&id_edicao=156405&fase=150343,FC Porto,2,14,4,2,0,14,3,Jornada 6
1668293337-130,https://www.zerozero.pt/edition.php?jornada_in=6&id_edicao=156405&fase=150343,Sporting,3,14,4,2,0,10,3,Jornada 6
1668293337-131,https://www.zerozero.pt/edition.php?jornada_in=6&id_edicao=156405&fase=150343,Estoril Praia,4,13,4,1,1,9,4,Jornada 6
1668293337-132,https://www.zerozero.pt/edition.php?jornada_in=6&id_edicao=156405&fase=150343,SC Braga,5,11,3,2,1,9,5,Jornada 6
